code,name,total_score,close,pct_chg,vol_ratio,weekly_resonance,squeeze_status,chip_90(%),profit_ratio(%),matched_rule,status_tag,bandwidth(%),converged_mas,listing_days,bw_percentile(%)
603316,诚邦股份,49.0,16.69,10.02,1.27,周线中性震荡,正常扩张,30.7,64.9,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.09,"MA10,MA60,MA250,MA5",320,39.2
002134,天津普林,49.0,27.1,9.98,1.36,周线中性震荡,正常扩张,21.1,76.2,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.46,"MA20,MA60,MA250,MA10",320,58.3
300623,捷捷微电,49.0,35.3,7.26,1.76,周线中性震荡,正常扩张,26.4,76.4,5线粘合汇聚,标准放量突破,3.32,"MA20,MA10,MA60,MA250,MA120",320,33.3
688368,晶丰明源,49.0,149.0,6.03,1.15,周线中性震荡,正常扩张,31.4,74.6,5线粘合汇聚,涨停蓄势(免放量),3.12,"MA5,MA20,MA10,MA120,MA60",320,32.5
300889,爱克股份,49.0,23.92,4.87,1.37,周线中性震荡,正常扩张,21.2,68.2,5线粘合汇聚,涨停蓄势(免放量),3.39,"MA5,MA250,MA30,MA120,MA10",320,72.5
300424,航新科技,49.0,16.09,3.87,1.2,周线中性震荡,正常扩张,22.8,76.6,5线粘合汇聚,涨停蓄势(免放量),3.26,"MA20,MA60,MA30,MA10,MA5",320,47.5
603978,深圳新星,49.0,22.82,3.59,1.22,周线中性震荡,正常扩张,28.2,67.4,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.03,"MA20,MA60,MA10,MA5",320,45.8
002787,华源控股,49.0,26.04,3.25,1.05,周线中性震荡,正常扩张,25.4,79.7,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.22,"MA30,MA120,MA20,MA60",320,35.8
603439,三力制药,49.0,13.6,3.11,0.98,周线中性震荡,正常扩张,20.2,66.5,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.11,"MA250,MA120,MA20,MA30",320,45.0
001316,润贝航科,49.0,28.11,1.63,0.94,周线中性震荡,正常扩张,23.0,47.9,4线汇聚(涨停豁免向上),涨停蓄势(免放量),2.73,"MA30,MA60,MA20,MA5",320,42.5
603389,亚振家居,49.0,48.61,1.04,0.9,周线中性震荡,正常扩张,19.0,77.4,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.36,"MA10,MA250,MA5,MA60",320,39.2
603020,爱普股份,49.0,11.43,0.88,1.07,周线中性震荡,正常扩张,20.6,71.6,5线粘合汇聚,涨停蓄势(免放量),3.4,"MA250,MA10,MA60,MA120,MA5",320,30.8
688611,杭州柯林,49.0,69.6,0.29,0.49,周线中性震荡,正常扩张,18.0,75.6,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.0,"MA60,MA20,MA30,MA10",320,30.8
603001,奥康国际,48.0,10.43,10.02,2.12,周线中性震荡,正常扩张,30.2,89.7,4线汇聚(涨停豁免向上),涨停+放量双共振,3.89,"MA120,MA20,MA250,MA10",320,41.7
688001,XD华兴源,48.0,75.37,6.94,0.97,周线中性震荡,正常扩张,28.5,92.4,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.77,"MA30,MA60,MA120,MA20",320,60.0
001360,南矿集团,48.0,20.56,6.09,1.51,周线中性震荡,正常扩张,20.0,91.3,4线汇聚(涨停豁免向上),涨停+放量双共振,3.74,"MA120,MA20,MA5,MA10",320,31.7
300550,和仁科技,48.0,14.39,3.82,1.31,周线中性震荡,正常扩张,18.3,80.0,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.95,"MA60,MA120,MA30,MA250",320,68.3
688726,拉普拉斯,47.0,46.55,11.26,2.73,周线中性震荡,低波收口,28.2,54.0,4线汇聚(涨停豁免向上),涨停+放量双共振,3.94,"MA5,MA10,MA60,MA20",320,15.8
001389,广合科技,47.0,169.03,0.58,1.12,周线中性震荡,低波收口,19.3,54.6,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.64,"MA20,MA30,MA120,MA60",320,25.0
002589,瑞康医药,45.0,3.27,10.1,1.46,周线中性震荡,正常扩张,15.4,55.5,4线汇聚(涨停豁免向上),涨停+放量双共振,3.97,"MA120,MA5,MA250,MA10",320,65.0
603016,新宏泰,45.0,30.48,10.0,1.81,周线中性震荡,正常扩张,31.4,45.6,4线汇聚(涨停豁免向上),涨停+放量双共振,3.46,"MA10,MA60,MA30,MA20",320,46.7
600630,龙头股份,45.0,8.29,9.95,1.86,周线中性震荡,正常扩张,22.3,75.8,4线汇聚(涨停豁免向上),涨停+放量双共振,3.69,"MA30,MA60,MA20,MA10",320,68.3
300798,锦鸡股份,45.0,8.28,4.68,1.19,周线中性震荡,正常扩张,25.7,58.3,5线粘合汇聚,涨停蓄势(免放量),3.36,"MA30,MA5,MA250,MA10,MA120",320,50.8
301678,新恒汇,45.0,50.21,2.09,1.85,周线中性震荡,正常扩张,27.9,57.1,4线向上汇聚,标准放量突破,2.87,"MA20,MA10,MA30,MA5",307,34.2
603685,晨丰科技,45.0,27.53,1.59,0.95,周线中性震荡,正常扩张,16.4,50.9,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.63,"MA30,MA60,MA20,MA5",320,90.0
605378,野马电池,45.0,14.83,1.16,1.01,周线中性震荡,正常扩张,18.2,64.7,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.54,"MA60,MA10,MA30,MA20",320,33.3
001278,一彬科技,45.0,16.15,0.31,0.94,周线中性震荡,正常扩张,20.4,56.1,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.28,"MA5,MA10,MA30,MA20",320,36.7
000007,全新好,45.0,11.33,0.18,0.92,周线中性震荡,正常扩张,21.2,40.1,4线汇聚(涨停豁免向上),涨停蓄势(免放量),2.84,"MA60,MA5,MA10,MA250",320,40.0
603386,骏亚科技,45.0,17.64,0.17,0.51,周线中性震荡,正常扩张,26.6,64.6,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.74,"MA30,MA250,MA120,MA20",320,85.8
301067,显盈科技,45.0,32.55,-0.15,1.07,周线中性震荡,正常扩张,23.1,75.4,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.84,"MA20,MA30,MA120,MA10",320,45.0
301516,中远通,45.0,19.55,-0.15,0.83,周线中性震荡,正常扩张,21.9,66.1,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.72,"MA120,MA20,MA5,MA10",320,55.8
600103,青山纸业,41.0,3.73,5.07,1.13,周线中性震荡,正常扩张,23.9,55.5,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.9,"MA5,MA120,MA20,MA10",320,60.8
600460,士兰微,41.0,32.77,2.44,1.45,周线中性震荡,正常扩张,27.1,48.0,4线汇聚(涨停豁免向上),涨停+放量双共振,3.77,"MA10,MA5,MA250,MA20",320,40.0
002137,实益达,41.0,8.67,1.4,1.64,周线中性震荡,正常扩张,25.5,52.9,4线汇聚(涨停豁免向上),涨停+放量双共振,3.8,"MA20,MA30,MA10,MA5",320,45.0
603693,江苏新能,41.0,12.44,-0.16,0.6,周线中性震荡,正常扩张,21.8,45.1,4线汇聚(涨停豁免向上),涨停蓄势(免放量),3.92,"MA20,MA30,MA60,MA10",320,45.0
