代码,名称,类型,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%)
001328,登康口腔,次新,临界变盘,64.6,否,无,是,是,44.1,否,是,1.28,30.31,30.66,30.74,-1.13,3.04
002675,东诚药业,次新,临界变盘,64.6,否,无,是,是,25.0,是,否,0.98,12.74,13.12,13.13,-2.93,1.22
603300,海南华铁,次新,回踩确认,64.5,是,Fib-55x3(165K),否,是,50.4,否,是,1.52,4.9,5.02,0.0,-2.36,1.85
688639,华恒生物,次新,回踩确认,64.3,否,无,是,是,66.7,否,是,1.31,17.7,17.37,17.42,1.91,2.37
688271,联影医疗,次新,回踩确认,64.2,否,无,是,是,36.5,否,是,2.15,108.58,107.84,108.81,0.69,3.62
600977,中国电影,次新,突破初现,64.1,否,无,是,是,43.3,否,是,1.45,12.69,12.34,12.61,2.85,1.51
002037,保利联合,次新,回踩确认,64.1,否,无,是,是,47.1,否,是,2.58,7.19,7.34,7.0,-2.1,2.27
600690,海尔智家,次新,突破初现,64.0,否,无,是,是,33.0,否,是,1.33,22.0,21.47,21.48,2.46,1.96
002124,天邦食品,次新,突破初现,63.8,否,无,是,是,38.1,是,否,3.28,2.42,2.35,2.35,2.95,1.55
601908,京运通,次新,回踩确认,63.7,是,Fib-55x2(110K),是,是,47.7,否,否,0.93,2.97,2.96,2.98,0.29,2.24
601702,华峰铝业,次新,回踩确认,63.6,是,Fib-144K,是,是,50.9,否,否,0.68,15.75,15.93,16.07,-1.13,1.41
300130,新国都,次新,临界变盘,63.5,否,无,是,是,47.1,否,是,1.85,20.22,20.25,20.3,-0.16,4.46
000529,广弘控股,次新,临界变盘,63.5,否,无,是,是,34.4,否,是,2.34,5.08,5.15,5.03,-1.35,3.24
601868,中国能建,次新,回踩确认,63.4,是,Sym-40x3(120K),是,是,37.6,否,否,1.08,2.48,2.46,2.44,1.01,1.65
003029,吉大正元,次新,突破初现,63.3,否,无,是,是,50.0,否,是,1.6,17.6,17.24,17.01,2.1,2.58
300092,科新机电,次新,回踩确认,63.2,是,Sym-41x3(123K),是,是,50.5,否,否,0.88,11.76,11.67,11.75,0.73,1.99
600173,卧龙新能,次新,临界变盘,63.1,是,Fib-144K,是,是,41.8,否,否,1.25,6.17,6.32,6.1,-2.4,0.36
600809,山西汾酒,次新,突破初现,63.0,否,无,是,是,50.7,否,是,2.1,122.56,119.1,119.47,2.9,1.89
600550,保变电气,次新,回踩确认,63.0,否,无,是,是,48.9,否,是,2.07,11.1,11.16,10.77,-0.57,4.21
000629,钒钛股份,次新,回踩确认,63.0,是,Fib-144K,是,是,34.5,否,否,0.82,3.0,3.04,3.02,-1.32,1.49
002157,正邦科技,次新,突破初现,62.9,否,无,是,是,31.3,否,是,3.39,3.22,3.19,3.13,1.09,3.76
