代码,名称,形态阶段,综合评分,时间共振,周期详情,双线共振,波浪穷竭,最大跌幅(%),双轨收敛,首阳放量,量比,现价,宏观阻力价,次级阻力价,偏差(%),均线带宽(%),类型
601200,上海环境,临界变盘,55.9,是,Sym-41x3(123K),是,否,29.3,否,否,0.82,6.96,6.97,6.9,-0.15,1.49,新股
603312,西典新能,临界变盘,55.9,是,Sym-49x4(196K),是,是,54.5,否,否,1.21,31.99,32.8,31.86,-2.46,3.19,新股
688566,吉贝尔,回踩确认,55.8,否,无,是,否,31.6,是,否,0.82,25.58,25.94,25.95,-1.39,2.28,新股
002268,电科网安,临界变盘,55.4,否,无,是,是,49.2,否,否,1.23,14.22,14.29,13.82,-0.49,1.35,新股
600161,天坛生物,回踩确认,55.3,否,无,是,是,40.6,否,否,1.11,12.28,12.26,12.22,0.13,1.76,新股
002797,第一创业,临界变盘,55.3,否,无,是,否,25.1,是,否,1.06,6.56,6.73,6.72,-2.47,1.39,新股
600170,上海建工,突破初现,55.2,是,Fib-144K,是,否,34.1,否,否,1.08,2.28,2.27,2.28,0.52,1.42,新股
002540,亚太科技,临界变盘,55.0,是,Fib-144K,是,是,43.5,否,否,0.57,5.14,5.24,5.24,-1.97,4.51,新股
000707,双环科技,临界变盘,55.0,是,Sym-31x4(124K),是,是,41.6,否,否,1.04,4.64,4.74,4.73,-2.01,4.52,新股
603809,豪能股份,回踩确认,54.5,否,无,是,是,45.9,否,否,1.76,8.86,8.86,8.93,0.05,2.15,新股
000415,渤海租赁,临界变盘,54.5,否,无,是,否,35.4,否,是,1.45,4.56,4.62,4.55,-1.25,2.95,新股
300926,博俊科技,回踩确认,54.4,否,无,是,是,52.1,否,否,0.94,17.69,17.64,18.12,0.3,1.95,新股
600496,精工钢构,临界变盘,54.4,否,无,是,否,33.3,否,是,1.29,3.34,3.42,3.34,-2.31,1.95,新股
601669,中国电建,回踩确认,54.2,否,无,是,否,36.1,否,是,1.28,4.63,4.54,4.54,1.95,2.36,新股
688271,联影医疗,回踩确认,54.2,否,无,是,否,36.5,否,是,2.15,108.58,107.84,108.81,0.69,3.62,新股
601238,广汽集团,回踩确认,54.2,否,无,是,是,49.6,否,否,0.86,5.17,5.21,5.22,-0.72,1.62,新股
600125,铁龙物流,临界变盘,54.2,是,Fib-55x2(110K),是,否,29.4,否,否,1.32,5.43,5.5,5.51,-1.19,1.13,新股
002123,梦网科技,回踩确认,54.0,否,无,是,是,51.9,否,否,0.92,8.24,8.22,8.33,0.29,2.1,新股
601688,华泰证券,突破初现,53.9,否,无,是,否,32.4,是,否,1.06,19.56,19.35,19.52,1.07,3.35,新股
600710,苏美达,突破初现,53.8,否,无,是,否,37.1,否,是,1.5,10.7,10.41,10.59,2.81,1.67,新股
300287,飞利信,回踩确认,53.8,否,无,是,是,50.0,否,否,1.0,3.68,3.7,3.76,-0.43,2.07,新股
600713,南京医药,临界变盘,53.8,否,无,是,否,28.4,是,否,0.76,5.26,5.34,5.35,-1.45,3.03,新股
002675,东诚药业,临界变盘,53.7,否,无,是,否,25.0,是,否,0.98,12.74,13.12,13.13,-2.93,1.58,新股
600507,方大特钢,回踩确认,53.4,否,无,是,是,46.2,否,否,0.8,4.26,4.22,4.28,0.87,1.78,新股
300918,南山智尚,临界变盘,53.2,否,无,是,是,57.8,否,否,1.16,10.57,10.57,10.64,-0.01,2.72,新股
000957,中通客车,回踩确认,53.0,否,无,是,否,30.6,是,否,1.24,10.39,10.2,10.25,1.84,2.95,新股
002276,万马股份,临界变盘,53.0,否,无,是,是,51.2,否,否,1.73,10.4,10.29,10.29,1.02,1.78,新股
603535,嘉诚国际,回踩确认,52.9,否,无,是,是,53.1,否,否,0.94,6.4,6.35,6.22,0.71,2.15,新股
002439,启明星辰,回踩确认,52.9,否,无,是,否,28.7,是,否,1.22,13.5,13.82,13.95,-2.33,2.53,新股
002304,洋河股份,回踩确认,52.8,否,无,否,是,47.0,否,是,1.6,39.59,38.88,0.0,1.82,3.05,新股
603027,千禾味业,突破初现,52.8,否,无,是,是,40.1,否,否,1.02,7.5,7.44,7.48,0.87,2.0,新股
603719,良品铺子,回踩确认,52.8,否,无,是,否,36.4,否,是,1.28,9.65,9.6,9.82,0.53,4.33,新股
301372,科净源,突破初现,52.8,否,无,否,是,42.4,否,是,1.47,31.37,31.32,0.0,0.17,4.72,新股
600708,光明地产,回踩确认,52.6,否,无,是,是,41.7,否,否,1.21,3.04,3.04,3.01,0.07,2.89,新股
301386,未来电器,临界变盘,52.6,否,无,是,是,39.2,否,否,1.06,20.23,20.35,20.54,-0.6,2.37,新股
600839,四川长虹,回踩确认,52.5,否,无,是,是,45.0,否,否,0.91,6.95,7.03,7.07,-1.14,1.87,新股
000825,太钢不锈,临界变盘,52.3,否,无,是,是,43.0,否,否,0.97,3.52,3.58,3.58,-1.62,1.46,新股
600166,福田汽车,回踩确认,52.2,否,无,是,否,26.9,是,否,0.83,2.9,2.89,2.9,0.36,4.75,新股
